Song Name,Genre,@3,@5,@10,@13,@15
Allantha Doorala,"Romantic,Melody",1.0,1.0,0.866388888888889,0.7256245890861277,0.6812555962555964
Pranavalaya,"Romantic,Melody",0.6666666666666666,0.71,0.5833333333333334,0.6215259099874485,0.5910367410367411
Adiga Adiga,"Romantic,Sad",1.0,0.6000000000000001,0.513095238095238,0.4949217449217449,0.5054885590599877
Guruvaram,"Romantic,Upbeat",1.0,1.0,0.7434920634920634,0.6296092796092795,0.6356575963718819
Ghal Ghal,"Romantic,Folk",0.5555555555555555,0.6433333333333334,0.6258730158730159,0.5443778443778444,0.5683020683020683
Ninnila,"Romantic,Melody",1.0,1.0,0.776388888888889,0.7193308827924214,0.6758010508010509
Hukum,"Mass,Inspirational",0.5,0.5,0.6428571428571428,0.6428571428571428,0.6428571428571428
Chinnari Thalli,Melody,0.6666666666666666,0.55,0.3321428571428571,0.3817848817848817,0.4272394272394272
O Cheliya,"Romantic,Melody",1.0,0.8,0.745436507936508,0.6902766037381423,0.7039540089540091
Naatu Naatu,"Folk,Dance",0.3333333333333333,0.3333333333333333,0.4166666666666666,0.5075757575757576,0.5075757575757576
Kurchi Madathapetti,"Folk,Dance",0.3333333333333333,0.3333333333333333,0.3999999999999999,0.3999999999999999,0.3999999999999999
Urike Urike,"Romantic,Upbeat",0.6666666666666666,0.55,0.5497619047619048,0.5274302620456467,0.5931580324437467
Saahore Baahubali,"Inspirational,Mass",0.5,0.5,0.6428571428571428,0.6428571428571428,0.6428571428571428
Nenani Neevani,"Romantic,Melody",1.0,0.8,0.656547619047619,0.6778445913061297,0.6398462648462648
Manasavacha,"Romantic,Melody",1.0,1.0,0.788888888888889,0.728946267407806,0.6841343841343843
Ammaadi,"Romantic,Melody",0.6666666666666666,0.71,0.7004365079365078,0.6556612191227575,0.673954008954009
Dheera Dheera,"Romantic,Melody",1.0,1.0,0.8,0.7424242424242425,0.6958152958152959
Pedave Palikina,Melody,1.0,0.76,0.636547619047619,0.5786796536796536,0.6306277056277055
Oosupodu,"Romantic,Sad",1.0,0.8,0.5380952380952382,0.5674069520223368,0.6302792445649588
Sirivennela,"Romantic,Melody",0.6666666666666666,0.71,0.5714285714285715,0.6123684008299394,0.6364335664335665