0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1.0,0.96434,0.98063,0.98043,0.98103,0.94773,0.85034,0.96678,0.99336,0.94437,0.97514,0.95237,0.95217,0.94258,0.97936,0.96911,0.97026,0.9709,0.95835,0.97598,0.96448,0.76726,0.96399,0.99477,0.97397,0.99083,0.76718,0.95541,0.98339,0.8435,0.82807,0.97918,0.76663,0.94734,0.85761,0.91165,0.97294,0.98345,0.9804,0.88245
0.96434,1.0,0.97287,0.98018,0.991,0.92148,0.8039,0.94346,0.96847,0.92804,0.9752,0.94064,0.93967,0.95055,0.92243,0.98518,0.93984,0.95912,0.93867,0.98121,0.95571,0.71108,0.94727,0.98218,0.97575,0.95222,0.71064,0.97979,0.96865,0.79858,0.78511,0.97826,0.70628,0.91672,0.80729,0.88514,0.9682,0.97695,0.97844,0.84707
0.98063,0.97287,1.0,0.99599,0.98187,0.9286,0.84236,0.95814,0.98883,0.94451,0.97207,0.95449,0.95746,0.94871,0.93165,0.95754,0.97194,0.95506,0.95691,0.98206,0.95401,0.75798,0.94005,0.98234,0.97113,0.96697,0.76214,0.98473,0.98111,0.82928,0.82414,0.96028,0.75462,0.9302,0.84997,0.90653,0.96786,0.96249,0.97732,0.877
0.98043,0.98018,0.99599,1.0,0.98584,0.94648,0.85761,0.96843,0.98966,0.95997,0.98406,0.96823,0.969,0.94711,0.9331,0.9701,0.97855,0.96695,0.9677,0.98243,0.9679,0.77795,0.95882,0.98358,0.98317,0.97063,0.78098,0.98294,0.97734,0.84822,0.84306,0.97229,0.77436,0.94695,0.86653,0.92456,0.98096,0.97311,0.97503,0.89332
0.98103,0.991,0.98187,0.98584,1.0,0.91927,0.79494,0.94413,0.98183,0.92294,0.97497,0.93617,0.93564,0.96634,0.94106,0.98328,0.94796,0.95279,0.93526,0.99011,0.94803,0.69977,0.94923,0.99233,0.96907,0.96001,0.7015,0.98458,0.98736,0.78682,0.7762,0.98421,0.69826,0.91731,0.80377,0.87888,0.96433,0.98227,0.98994,0.83711
0.94773,0.92148,0.9286,0.94648,0.91927,1.0,0.94521,0.98622,0.9527,0.99038,0.97549,0.98466,0.97818,0.85546,0.92906,0.94723,0.97889,0.98448,0.98596,0.9035,0.9901,0.90939,0.99055,0.93706,0.97978,0.97068,0.9072,0.88327,0.89781,0.95555,0.94612,0.95594,0.90945,0.9977,0.96211,0.98604,0.98279,0.95599,0.9051,0.96882
0.85034,0.8039,0.84236,0.85761,0.79494,0.94521,1.0,0.94662,0.86735,0.95678,0.8935,0.95123,0.95211,0.71338,0.82751,0.83476,0.92779,0.92083,0.95454,0.77324,0.93416,0.97808,0.9005,0.82888,0.90381,0.89517,0.97673,0.76191,0.7785,0.99363,0.98359,0.83677,0.97495,0.95218,0.98348,0.97564,0.91235,0.83192,0.7844,0.99299
0.96678,0.94346,0.95814,0.96843,0.94413,0.98622,0.94662,1.0,0.97487,0.99182,0.98743,0.99543,0.99432,0.87789,0.93591,0.96073,0.99025,0.98949,0.9967,0.9245,0.99347,0.88595,0.97948,0.961,0.98732,0.97982,0.8854,0.9134,0.92778,0.94035,0.92973,0.96297,0.88419,0.98871,0.94476,0.9799,0.98901,0.95927,0.93309,0.96647
0.99336,0.96847,0.98883,0.98966,0.98183,0.9527,0.86735,0.97487,1.0,0.9589,0.98091,0.96671,0.96822,0.94877,0.96272,0.96529,0.98236,0.97051,0.97061,0.97697,0.9711,0.7897,0.9632,0.99099,0.98235,0.9836,0.79175,0.96503,0.9832,0.8591,0.85144,0.97576,0.7873,0.95244,0.87574,0.92775,0.97595,0.97949,0.98252,0.90074
0.94437,0.92804,0.94451,0.95997,0.92294,0.99038,0.95678,0.99182,0.9589,1.0,0.97988,0.9976,0.99494,0.85862,0.90808,0.9433,0.98947,0.97896,0.99521,0.90696,0.98918,0.91476,0.97791,0.93605,0.98337,0.96372,0.91425,0.89833,0.90321,0.95681,0.95438,0.94813,0.91108,0.99246,0.9644,0.99339,0.98331,0.94584,0.90668,0.97953
0.97514,0.9752,0.97207,0.98406,0.97497,0.97549,0.8935,0.98743,0.98091,0.97988,1.0,0.98546,0.98108,0.91195,0.93305,0.98849,0.98478,0.98463,0.98112,0.95369,0.98634,0.82427,0.98685,0.97735,0.99226,0.97542,0.82385,0.94654,0.95042,0.89078,0.88369,0.98896,0.82322,0.97667,0.90249,0.95694,0.99225,0.98246,0.955,0.92573
0.95237,0.94064,0.95449,0.96823,0.93617,0.98466,0.95123,0.99543,0.96671,0.9976,0.98546,1.0,0.99858,0.8712,0.9125,0.95358,0.99029,0.98205,0.99704,0.91797,0.9907,0.89754,0.9757,0.94768,0.98653,0.96677,0.89726,0.91181,0.91649,0.94581,0.94116,0.95517,0.89375,0.98797,0.9509,0.98722,0.98727,0.95066,0.91996,0.9729
0.95217,0.93967,0.95746,0.969,0.93564,0.97818,0.95211,0.99432,0.96822,0.99494,0.98108,0.99858,1.0,0.87608,0.91257,0.94728,0.98904,0.97927,0.99723,0.92011,0.9885,0.89512,0.96691,0.94813,0.98463,0.96582,0.89544,0.91535,0.92024,0.94285,0.93828,0.94832,0.89007,0.98162,0.94711,0.98308,0.98385,0.94484,0.92366,0.9725
0.94258,0.95055,0.94871,0.94711,0.96634,0.85546,0.71338,0.87789,0.94877,0.85862,0.91195,0.8712,0.87608,1.0,0.91659,0.91836,0.89423,0.88783,0.87561,0.97961,0.88704,0.62698,0.88547,0.95691,0.91685,0.91189,0.6325,0.97138,0.97821,0.70827,0.70783,0.92958,0.6236,0.84941,0.73493,0.80814,0.9022,0.93822,0.98147,0.76542
0.97936,0.92243,0.93165,0.9331,0.94106,0.92906,0.82751,0.93591,0.96272,0.90808,0.93305,0.9125,0.91257,0.91659,1.0,0.9314,0.92923,0.95358,0.9264,0.94506,0.94278,0.74901,0.94267,0.97014,0.94432,0.98101,0.74516,0.90352,0.95395,0.82736,0.79884,0.94875,0.74753,0.92243,0.83211,0.87784,0.94229,0.96339,0.95564,0.85766
0.96911,0.98518,0.95754,0.9701,0.98328,0.94723,0.83476,0.96073,0.96529,0.9433,0.98849,0.95358,0.94728,0.91836,0.9314,1.0,0.95061,0.97181,0.94794,0.95737,0.96644,0.74938,0.97408,0.97956,0.97673,0.9626,0.74722,0.94783,0.95144,0.83312,0.81744,0.99461,0.74996,0.94642,0.84049,0.91167,0.97873,0.98538,0.95972,0.87144
0.97026,0.93984,0.97194,0.97855,0.94796,0.97889,0.92779,0.99025,0.98236,0.98947,0.98478,0.99029,0.98904,0.89423,0.92923,0.95061,1.0,0.97348,0.99014,0.9357,0.98077,0.87453,0.9751,0.95993,0.98268,0.97437,0.8765,0.92795,0.9407,0.92281,0.92338,0.96116,0.87278,0.98218,0.94102,0.97433,0.98022,0.96056,0.93738,0.95351
0.9709,0.95912,0.95506,0.96695,0.95279,0.98448,0.92083,0.98949,0.97051,0.97896,0.98463,0.98205,0.97927,0.88783,0.95358,0.97181,0.97348,1.0,0.98673,0.93951,0.99684,0.85321,0.98359,0.96936,0.99164,0.98775,0.84948,0.92222,0.93242,0.92085,0.89762,0.97117,0.85008,0.98106,0.91768,0.96032,0.99471,0.97259,0.94242,0.94418
0.95835,0.93867,0.95691,0.9677,0.93526,0.98596,0.95454,0.9967,0.97061,0.99521,0.98112,0.99704,0.99723,0.87561,0.9264,0.94794,0.99014,0.98673,1.0,0.92205,0.99336,0.89972,0.9735,0.95207,0.9874,0.97473,0.89952,0.91281,0.92129,0.94907,0.9405,0.95109,0.89571,0.98732,0.95302,0.9842,0.98707,0.95069,0.92598,0.97407
0.97598,0.98121,0.98206,0.98243,0.99011,0.9035,0.77324,0.9245,0.97697,0.90696,0.95369,0.91797,0.92011,0.97961,0.94506,0.95737,0.9357,0.93951,0.92205,1.0,0.9345,0.68124,0.92999,0.98568,0.95889,0.95526,0.68335,0.99105,0.99144,0.76712,0.75603,0.96311,0.67669,0.89741,0.78611,0.85783,0.95153,0.97154,0.99116,0.81901
0.96448,0.95571,0.95401,0.9679,0.94803,0.9901,0.93416,0.99347,0.9711,0.98918,0.98634,0.9907,0.9885,0.88704,0.94278,0.96644,0.98077,0.99684,0.99336,0.9345,1.0,0.8752,0.98556,0.96279,0.995,0.98216,0.8726,0.9198,0.92757,0.93498,0.91905,0.96786,0.87128,0.98681,0.9346,0.97391,0.99401,0.96908,0.93766,0.959
0.76726,0.71108,0.75798,0.77795,0.69977,0.90939,0.97808,0.88595,0.7897,0.91476,0.82427,0.89754,0.89512,0.62698,0.74901,0.74938,0.87453,0.85321,0.89972,0.68124,0.8752,1.0,0.85072,0.73725,0.83824,0.82425,0.99905,0.66738,0.68338,0.98741,0.99147,0.75996,0.99848,0.9154,0.98409,0.95111,0.84497,0.75666,0.69005,0.97202
0.96399,0.94727,0.94005,0.95882,0.94923,0.99055,0.9005,0.97948,0.9632,0.97791,0.98685,0.9757,0.96691,0.88547,0.94267,0.97408,0.9751,0.98359,0.9735,0.92999,0.98556,0.85072,1.0,0.95892,0.98396,0.97471,0.84795,0.90765,0.92425,0.91083,0.90078,0.98317,0.85156,0.98749,0.92148,0.96364,0.98592,0.98186,0.92911,0.93273
0.99477,0.98218,0.98234,0.98358,0.99233,0.93706,0.82888,0.961,0.99099,0.93605,0.97735,0.94768,0.94813,0.95691,0.97014,0.97956,0.95993,0.96936,0.95207,0.98568,0.96279,0.73725,0.95892,1.0,0.97602,0.98183,0.73715,0.9703,0.98879,0.82105,0.80488,0.984,0.73538,0.9348,0.83287,0.89784,0.97283,0.98686,0.99094,0.86556
0.97397,0.97575,0.97113,0.98317,0.96907,0.97978,0.90381,0.98732,0.98235,0.98337,0.99226,0.98653,0.98463,0.91685,0.94432,0.97673,0.98268,0.99164,0.9874,0.95889,0.995,0.83824,0.98396,0.97602,1.0,0.98175,0.83664,0.94802,0.95025,0.90368,0.89219,0.97911,0.83311,0.976,0.9096,0.95974,0.99379,0.98108,0.95836,0.93659
0.99083,0.95222,0.96697,0.97063,0.96001,0.97068,0.89517,0.97982,0.9836,0.96372,0.97542,0.96677,0.96582,0.91189,0.98101,0.9626,0.97437,0.98775,0.97473,0.95526,0.98216,0.82425,0.97471,0.98183,0.98175,1.0,0.82186,0.93107,0.9575,0.89281,0.87226,0.97059,0.82222,0.96935,0.89824,0.94042,0.9835,0.97666,0.95888,0.92166
0.76718,0.71064,0.76214,0.78098,0.7015,0.9072,0.97673,0.8854,0.79175,0.91425,0.82385,0.89726,0.89544,0.6325,0.74516,0.74722,0.8765,0.84948,0.89952,0.68335,0.8726,0.99905,0.84795,0.73715,0.83664,0.82186,1.0,0.67251,0.68629,0.98483,0.99179,0.75808,0.99853,0.91396,0.98513,0.95029,0.84332,0.75407,0.69254,0.97061
0.95541,0.97979,0.98473,0.98294,0.98458,0.88327,0.76191,0.9134,0.96503,0.89833,0.94654,0.91181,0.91535,0.97138,0.90352,0.94783,0.92795,0.92222,0.91281,0.99105,0.9198,0.66738,0.90765,0.9703,0.94802,0.93107,0.67251,1.0,0.97947,0.75084,0.74581,0.94614,0.66272,0.88022,0.77335,0.84716,0.94072,0.94925,0.98051,0.80745
0.98339,0.96865,0.98111,0.97734,0.98736,0.89781,0.7785,0.92778,0.9832,0.90321,0.95042,0.91649,0.92024,0.97821,0.95395,0.95144,0.9407,0.93242,0.92129,0.99144,0.92757,0.68338,0.92425,0.98879,0.95025,0.9575,0.68629,0.97947,1.0,0.76665,0.75804,0.96103,0.68096,0.89544,0.78829,0.85641,0.94188,0.96832,0.9942,0.81982
0.8435,0.79858,0.82928,0.84822,0.78682,0.95555,0.99363,0.94035,0.8591,0.95681,0.89078,0.94581,0.94285,0.70827,0.82736,0.83312,0.92281,0.92085,0.94907,0.76712,0.93498,0.98741,0.91083,0.82105,0.90368,0.89281,0.98483,0.75084,0.76665,1.0,0.99143,0.83905,0.98546,0.95921,0.99162,0.97965,0.91159,0.83676,0.77565,0.99238
0.82807,0.78511,0.82414,0.84306,0.7762,0.94612,0.98359,0.92973,0.85144,0.95438,0.88369,0.94116,0.93828,0.70783,0.79884,0.81744,0.92338,0.89762,0.9405,0.75603,0.91905,0.99147,0.90078,0.80488,0.89219,0.87226,0.99179,0.74581,0.75804,0.99143,1.0,0.82746,0.99026,0.95193,0.99546,0.98016,0.89519,0.82241,0.76401,0.98861
0.97918,0.97826,0.96028,0.97229,0.98421,0.95594,0.83677,0.96297,0.97576,0.94813,0.98896,0.95517,0.94832,0.92958,0.94875,0.99461,0.96116,0.97117,0.95109,0.96311,0.96786,0.75996,0.98317,0.984,0.97911,0.97059,0.75808,0.94614,0.96103,0.83905,0.82746,1.0,0.76082,0.95403,0.8523,0.9182,0.97768,0.9951,0.96547,0.87607
0.76663,0.70628,0.75462,0.77436,0.69826,0.90945,0.97495,0.88419,0.7873,0.91108,0.82322,0.89375,0.89007,0.6236,0.74753,0.74996,0.87278,0.85008,0.89571,0.67669,0.87128,0.99848,0.85156,0.73538,0.83311,0.82222,0.99853,0.66272,0.68096,0.98546,0.99026,0.76082,1.0,0.91639,0.98478,0.949,0.8425,0.75521,0.68745,0.96772
0.94734,0.91672,0.9302,0.94695,0.91731,0.9977,0.95218,0.98871,0.95244,0.99246,0.97667,0.98797,0.98162,0.84941,0.92243,0.94642,0.98218,0.98106,0.98732,0.89741,0.98681,0.9154,0.98749,0.9348,0.976,0.96935,0.91396,0.88022,0.89544,0.95921,0.95193,0.95403,0.91639,1.0,0.9664,0.99034,0.98232,0.95016,0.89996,0.97305
0.85761,0.80729,0.84997,0.86653,0.80377,0.96211,0.98348,0.94476,0.87574,0.9644,0.90249,0.9509,0.94711,0.73493,0.83211,0.84049,0.94102,0.91768,0.95302,0.78611,0.9346,0.98409,0.92148,0.83287,0.9096,0.89824,0.98513,0.77335,0.78829,0.99162,0.99546,0.8523,0.98478,0.9664,1.0,0.98494,0.91446,0.84955,0.79276,0.98934
0.91165,0.88514,0.90653,0.92456,0.87888,0.98604,0.97564,0.9799,0.92775,0.99339,0.95694,0.98722,0.98308,0.80814,0.87784,0.91167,0.97433,0.96032,0.9842,0.85783,0.97391,0.95111,0.96364,0.89784,0.95974,0.94042,0.95029,0.84716,0.85641,0.97965,0.98016,0.9182,0.949,0.99034,0.98494,1.0,0.96258,0.91317,0.86108,0.99207
0.97294,0.9682,0.96786,0.98096,0.96433,0.98279,0.91235,0.98901,0.97595,0.98331,0.99225,0.98727,0.98385,0.9022,0.94229,0.97873,0.98022,0.99471,0.98707,0.95153,0.99401,0.84497,0.98592,0.97283,0.99379,0.9835,0.84332,0.94072,0.94188,0.91159,0.89519,0.97768,0.8425,0.98232,0.91446,0.96258,1.0,0.97597,0.94739,0.93936
0.98345,0.97695,0.96249,0.97311,0.98227,0.95599,0.83192,0.95927,0.97949,0.94584,0.98246,0.95066,0.94484,0.93822,0.96339,0.98538,0.96056,0.97259,0.95069,0.97154,0.96908,0.75666,0.98186,0.98686,0.98108,0.97666,0.75407,0.94925,0.96832,0.83676,0.82241,0.9951,0.75521,0.95016,0.84955,0.91317,0.97597,1.0,0.97127,0.87348
0.9804,0.97844,0.97732,0.97503,0.98994,0.9051,0.7844,0.93309,0.98252,0.90668,0.955,0.91996,0.92366,0.98147,0.95564,0.95972,0.93738,0.94242,0.92598,0.99116,0.93766,0.69005,0.92911,0.99094,0.95836,0.95888,0.69254,0.98051,0.9942,0.77565,0.76401,0.96547,0.68745,0.89996,0.79276,0.86108,0.94739,0.97127,1.0,0.82687
0.88245,0.84707,0.877,0.89332,0.83711,0.96882,0.99299,0.96647,0.90074,0.97953,0.92573,0.9729,0.9725,0.76542,0.85766,0.87144,0.95351,0.94418,0.97407,0.81901,0.959,0.97202,0.93273,0.86556,0.93659,0.92166,0.97061,0.80745,0.81982,0.99238,0.98861,0.87607,0.96772,0.97305,0.98934,0.99207,0.93936,0.87348,0.82687,1.0